alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77381,1251,192.168.100.4,80,flow,1,True,2025-06-28T07:32:47.091358+0700,759477862017931,timeout,2025-06-28T07:32:46.928651+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,16,TCP,192.168.100.6,51226,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:42.637696+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,205265,2796,192.168.100.4,80,flow,21,True,2025-06-28T07:33:08.379128+0700,906730815819381,timeout,2025-06-28T07:32:47.069237+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,151,36,TCP,192.168.100.6,51236,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:53.341699+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77513,1647,192.168.100.4,80,flow,0,True,2025-06-28T07:32:47.279994+0700,1644586869966702,timeout,2025-06-28T07:32:47.116590+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,59,22,TCP,192.168.100.6,51240,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:51.036594+0700
,,,,,http,74654,1380,192.168.100.4,80,flow,0,True,2025-06-28T07:28:06.840665+0700,446232993862719,timeout,2025-06-28T07:28:06.726079+0700,closed,slowread_detected,,,,,,,,enp0s3,55,18,TCP,192.168.100.6,35532,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:47.556267+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75175,1378,192.168.100.4,80,flow,0,True,2025-06-28T07:32:49.178046+0700,251104058242559,timeout,2025-06-28T07:32:49.095743+0700,closed,slowread_detected,text/html,192.168.100.4,71027,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,56,18,TCP,192.168.100.6,51248,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:15.094039+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75133,1048,192.168.100.4,80,flow,0,True,2025-06-28T07:32:51.522538+0700,1626434190943409,timeout,2025-06-28T07:32:51.435377+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,13,TCP,192.168.100.6,38116,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:20.331820+0700
,,,,,http,77381,1581,192.168.100.4,80,flow,0,True,2025-06-28T07:29:12.309277+0700,729490386346834,timeout,2025-06-28T07:29:12.222034+0700,closed,slowread_detected,,,,,,,,enp0s3,57,21,TCP,192.168.100.6,33834,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:51.558859+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,141955,2038,192.168.100.4,80,flow,18,True,2025-06-28T07:33:10.228427+0700,1955886099887821,timeout,2025-06-28T07:32:52.030413+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,105,27,TCP,192.168.100.6,38118,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:42.448897+0700
,,,,,http,74655,1314,192.168.100.4,80,flow,0,True,2025-06-28T07:29:02.481828+0700,1434122720255932,timeout,2025-06-28T07:29:02.401340+0700,closed,slowread_detected,,,,,,,,enp0s3,55,17,TCP,192.168.100.6,53818,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:52.230002+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,204745,2732,192.168.100.4,80,flow,17,True,2025-06-28T07:33:09.622667+0700,197850758951585,timeout,2025-06-28T07:32:52.307873+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,150,35,TCP,192.168.100.6,38130,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:44.002423+0700
