alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74862,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:51.301447+0700,12290953467246,timeout,2025-06-27T13:10:50.939374+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,13,TCP,192.168.100.6,44572,True,,1e,1a,1e,True,closed,True,2025-06-27T13:13:38.678433+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75590,1386,192.168.100.4,80,flow,1,True,2025-06-27T13:10:54.189984+0700,2015298344256490,timeout,2025-06-27T13:10:53.852970+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,16,TCP,192.168.100.6,44714,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:36.066660+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74862,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:58.247438+0700,1997057618430392,timeout,2025-06-27T13:10:57.149944+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,13,TCP,192.168.100.6,44874,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:03.374686+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74926,1188,192.168.100.4,80,flow,0,True,2025-06-27T13:10:59.940315+0700,446456313133627,timeout,2025-06-27T13:10:59.768571+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,13,TCP,192.168.100.6,45114,True,,1e,1a,1e,True,closed,True,2025-06-27T13:13:59.379914+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1460,192.168.100.4,80,flow,60,True,2025-06-27T13:11:10.730105+0700,1924934377069864,timeout,2025-06-27T13:10:10.580904+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,58648,True,True,1b,13,1b,True,closed,True,2025-06-27T13:16:02.169541+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1502,192.168.100.4,80,flow,60,True,2025-06-27T13:11:11.971717+0700,2198386354893747,timeout,2025-06-27T13:10:11.930739+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,58734,True,True,1b,13,1b,True,closed,True,2025-06-27T13:15:48.094987+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1543,192.168.100.4,80,flow,60,True,2025-06-27T13:11:14.324921+0700,749887159707276,timeout,2025-06-27T13:10:14.304780+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,58848,True,True,1b,13,1b,True,closed,True,2025-06-27T13:14:36.737423+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1497,192.168.100.4,80,flow,60,True,2025-06-27T13:11:19.702559+0700,2161316492707503,timeout,2025-06-27T13:10:19.558767+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,59112,True,True,1b,13,1b,True,closed,True,2025-06-27T13:14:43.327373+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74670,1386,192.168.100.4,80,flow,1,True,2025-06-27T13:11:03.153976+0700,1055800503458827,timeout,2025-06-27T13:11:02.809995+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,16,TCP,192.168.100.6,45296,True,,1e,1a,1e,True,closed,True,2025-06-27T13:15:18.051811+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74928,1254,192.168.100.4,80,flow,1,True,2025-06-27T13:11:06.082738+0700,2043900679769596,timeout,2025-06-27T13:11:05.740860+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,14,TCP,192.168.100.6,45414,True,,1e,1a,1e,True,closed,True,2025-06-27T13:15:25.405109+0700
