flow_id,timestamp,src_ip,src_port,dest_ip,dest_port,proto,app_proto,in_iface,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,flow_start,flow_end,duration,flow_state,tcp_flags,alert_signature,alert_severity,alert_action,http_method,http_url,http_status,http_user_agent,http_length,flowbits_count
1306909369228457,2025-06-02T18:40:35.207721+0700,192.168.100.5,54874,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:36:20.646313+0700,2025-06-02T18:36:25.572528+0700,4.926215,closed,1b,,,,,,,,,3
1471806065462706,2025-06-02T18:45:16.302445+0700,192.168.100.5,44402,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:40:37.576946+0700,2025-06-02T18:40:42.150598+0700,4.573652,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=185&q=services,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
1913620741933396,2025-06-02T18:40:41.220451+0700,192.168.100.5,39608,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:35:42.051540+0700,2025-06-02T18:35:47.180996+0700,5.129456,closed,1b,,,,,,,,,3
1009573095422866,2025-06-02T18:44:08.168893+0700,192.168.100.5,34164,192.168.100.4,80,TCP,http,enp0s3,6,5,625,2149,2025-06-02T18:40:42.146322+0700,2025-06-02T18:40:46.602358+0700,4.456036,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=275&q=home,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
2044119048135819,2025-06-02T18:45:32.414533+0700,192.168.100.5,34168,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:40:46.599179+0700,2025-06-02T18:40:52.413338+0700,5.814159,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=978&q=contact,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
184952260148433,2025-06-02T18:43:33.421923+0700,192.168.100.5,55020,192.168.100.4,80,TCP,http,enp0s3,6,5,642,2149,2025-06-02T18:40:52.408785+0700,2025-06-02T18:40:57.914550+0700,5.505765,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=824&q=about,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
752682512540211,2025-06-02T18:44:50.197603+0700,192.168.100.5,55034,192.168.100.4,80,TCP,http,enp0s3,6,5,629,2149,2025-06-02T18:40:57.909875+0700,2025-06-02T18:41:04.074463+0700,6.164588,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=455&q=services,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
758974624065061,2025-06-02T18:41:01.263227+0700,192.168.100.5,53548,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:37:00.484901+0700,2025-06-02T18:37:05.780238+0700,5.295337,closed,1b,,,,,,,,,3
15180793647913,2025-06-02T18:43:52.122362+0700,192.168.100.5,46520,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:41:04.070441+0700,2025-06-02T18:41:09.276662+0700,5.206221,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=428&q=contact,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
436869273034885,2025-06-02T18:42:43.377982+0700,192.168.100.5,46536,192.168.100.4,80,TCP,http,enp0s3,6,5,629,2149,2025-06-02T18:41:09.270469+0700,2025-06-02T18:41:13.661633+0700,4.391164,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=844&q=services,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
2094997232486985,2025-06-02T18:45:50.034237+0700,192.168.100.5,43832,192.168.100.4,80,TCP,http,enp0s3,6,5,625,2149,2025-06-02T18:41:13.657993+0700,2025-06-02T18:41:17.712669+0700,4.054676,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=955&q=home,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
104352887277644,2025-06-02T18:41:15.269618+0700,192.168.100.5,56322,192.168.100.4,80,TCP,http,enp0s3,6,5,637,2149,2025-06-02T18:36:39.329804+0700,2025-06-02T18:36:44.102291+0700,4.772487,closed,1b,,,,,,,,,3
1913032353370516,2025-06-02T18:45:49.366733+0700,192.168.100.5,43844,192.168.100.4,80,TCP,http,enp0s3,6,5,642,2149,2025-06-02T18:41:17.709012+0700,2025-06-02T18:41:23.321048+0700,5.612036,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=594&q=about,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
1332606158876108,2025-06-02T18:41:19.273321+0700,192.168.100.5,60246,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:36:25.568780+0700,2025-06-02T18:36:30.581759+0700,5.012979,closed,1b,,,,,,,,,3
654589756168445,2025-06-02T18:44:54.202305+0700,192.168.100.5,39780,192.168.100.4,80,TCP,http,enp0s3,6,5,639,2149,2025-06-02T18:41:23.317693+0700,2025-06-02T18:41:27.593147+0700,4.275454,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=275&q=services,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
268888808357602,2025-06-02T18:43:05.390882+0700,192.168.100.5,39792,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:41:27.589538+0700,2025-06-02T18:41:33.078596+0700,5.489058,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=59&q=services,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
1479983669303439,2025-06-02T18:41:30.614879+0700,192.168.100.5,56540,192.168.100.4,80,TCP,http,enp0s3,6,5,640,2149,2025-06-02T18:37:05.776335+0700,2025-06-02T18:37:10.566547+0700,4.790212,closed,1b,,,,,,,,,3
1281208305393776,2025-06-02T18:43:51.454959+0700,192.168.100.5,42160,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:41:33.073840+0700,2025-06-02T18:41:38.179415+0700,5.105575,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=528&q=contact,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
2085496746548036,2025-06-02T18:41:34.623237+0700,192.168.100.5,56310,192.168.100.4,80,TCP,http,enp0s3,6,5,635,2149,2025-06-02T18:36:34.662340+0700,2025-06-02T18:36:39.333786+0700,4.671446,closed,1b,,,,,,,,,3
634540849803235,2025-06-02T18:45:29.061636+0700,192.168.100.5,42162,192.168.100.4,80,TCP,http,enp0s3,6,5,635,2149,2025-06-02T18:41:38.176099+0700,2025-06-02T18:41:42.910121+0700,4.734022,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=825&q=home,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
1988817052947738,2025-06-02T18:42:49.384701+0700,192.168.100.5,42900,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:41:42.906522+0700,2025-06-02T18:41:47.062926+0700,4.156404,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=214&q=contact,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
268373413587130,2025-06-02T18:45:55.372043+0700,192.168.100.5,42904,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:41:47.059578+0700,2025-06-02T18:41:52.584835+0700,5.525257,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=446&q=contact,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
786015741798428,2025-06-02T18:41:47.295160+0700,192.168.100.5,57186,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:37:55.452636+0700,2025-06-02T18:37:59.779674+0700,4.327038,closed,1b,,,,,,,,,3
1284987877907295,2025-06-02T18:43:58.157574+0700,192.168.100.5,45884,192.168.100.4,80,TCP,http,enp0s3,6,5,636,2149,2025-06-02T18:41:52.580447+0700,2025-06-02T18:41:57.478816+0700,4.898369,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=952&q=about,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
1113893542586322,2025-06-02T18:41:57.313255+0700,192.168.100.5,51790,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:37:16.419794+0700,2025-06-02T18:37:21.765382+0700,5.345588,closed,1b,,,,,,,,,3
1131073430174979,2025-06-02T18:46:26.086775+0700,192.168.100.5,45892,192.168.100.4,80,TCP,http,enp0s3,6,5,626,2149,2025-06-02T18:41:57.474371+0700,2025-06-02T18:42:02.242693+0700,4.768322,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=691&q=about,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
703341932487940,2025-06-02T18:46:17.407484+0700,192.168.100.5,37472,192.168.100.4,80,TCP,http,enp0s3,6,5,625,2149,2025-06-02T18:42:02.238852+0700,2025-06-02T18:42:07.967780+0700,5.728928,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=416&q=home,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1640598267337774,2025-06-02T18:42:04.651654+0700,192.168.100.5,51804,192.168.100.4,80,TCP,http,enp0s3,6,5,626,2149,2025-06-02T18:37:21.760878+0700,2025-06-02T18:37:26.320763+0700,4.559885,closed,1b,,,,,,,,,3
459022718186895,2025-06-02T18:43:20.076601+0700,192.168.100.5,37478,192.168.100.4,80,TCP,http,enp0s3,6,5,641,2149,2025-06-02T18:42:07.963983+0700,2025-06-02T18:42:13.249180+0700,5.285197,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=273&q=home,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
1804352504577666,2025-06-02T18:45:35.356817+0700,192.168.100.5,53570,192.168.100.4,80,TCP,http,enp0s3,6,5,636,2149,2025-06-02T18:42:13.245378+0700,2025-06-02T18:42:17.301052+0700,4.055674,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=192&q=about,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
658253366789342,2025-06-02T18:45:00.205948+0700,192.168.100.5,53580,192.168.100.4,80,TCP,http,enp0s3,6,5,629,2149,2025-06-02T18:42:17.296158+0700,2025-06-02T18:42:23.286582+0700,5.990424,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=637&q=services,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1411994357813020,2025-06-02T18:46:25.418845+0700,192.168.100.5,60504,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:42:23.282396+0700,2025-06-02T18:42:27.556733+0700,4.274337,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=633&q=contact,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1551705331714223,2025-06-02T18:42:24.019514+0700,192.168.100.5,57194,192.168.100.4,80,TCP,http,enp0s3,6,5,639,2149,2025-06-02T18:37:59.772271+0700,2025-06-02T18:38:01.740491+0700,1.96822,closed,1b,,,,,,,,,3
1921179910891834,2025-06-02T18:46:03.391764+0700,192.168.100.5,60506,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:42:27.551226+0700,2025-06-02T18:42:33.099586+0700,5.54836,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=902&q=services,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
332230990327970,2025-06-02T18:44:53.533693+0700,192.168.100.5,37496,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:42:33.094370+0700,2025-06-02T18:42:37.721284+0700,4.626914,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=277&q=contact,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
