alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_id,flow_state,http_host,http_length,http_method,http_status,http_url,http_user_agent,pkts_toclient,pkts_toserver,proto,src_ip,src_port,timestamp
,,,http,2149,635,192.168.100.4,80,flow,5,2085496746548036,closed,,,,,,,5,6,TCP,192.168.100.5,56310,2025-06-02T18:41:34.623237+0700
3,HTTP GET Request Detected,1000002,http,2149,635,192.168.100.4,80,flow,4,634540849803235,closed,192.168.100.4,1550,GET,200,/?id=825&q=home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,42162,2025-06-02T18:45:29.061636+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,1988817052947738,closed,192.168.100.4,1550,GET,200,/?id=214&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,42900,2025-06-02T18:42:49.384701+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,5,268373413587130,closed,192.168.100.4,1550,GET,200,/?id=446&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,42904,2025-06-02T18:45:55.372043+0700
,,,http,2149,628,192.168.100.4,80,flow,4,786015741798428,closed,,,,,,,5,6,TCP,192.168.100.5,57186,2025-06-02T18:41:47.295160+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,5,1284987877907295,closed,192.168.100.4,1550,GET,200,/?id=952&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,45884,2025-06-02T18:43:58.157574+0700
,,,http,2149,644,192.168.100.4,80,flow,5,1113893542586322,closed,,,,,,,5,6,TCP,192.168.100.5,51790,2025-06-02T18:41:57.313255+0700
3,HTTP GET Request Detected,1000002,http,2149,626,192.168.100.4,80,flow,5,1131073430174979,closed,192.168.100.4,1550,GET,200,/?id=691&q=about,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,45892,2025-06-02T18:46:26.086775+0700
3,HTTP GET Request Detected,1000002,http,2149,625,192.168.100.4,80,flow,5,703341932487940,closed,192.168.100.4,1550,GET,200,/?id=416&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,37472,2025-06-02T18:46:17.407484+0700
,,,http,2149,626,192.168.100.4,80,flow,5,1640598267337774,closed,,,,,,,5,6,TCP,192.168.100.5,51804,2025-06-02T18:42:04.651654+0700
3,HTTP GET Request Detected,1000002,http,2149,641,192.168.100.4,80,flow,6,459022718186895,closed,192.168.100.4,1550,GET,200,/?id=273&q=home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,37478,2025-06-02T18:43:20.076601+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,4,1804352504577666,closed,192.168.100.4,1550,GET,200,/?id=192&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,53570,2025-06-02T18:45:35.356817+0700
3,HTTP GET Request Detected,1000002,http,2149,629,192.168.100.4,80,flow,6,658253366789342,closed,192.168.100.4,1550,GET,200,/?id=637&q=services,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,53580,2025-06-02T18:45:00.205948+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,4,1411994357813020,closed,192.168.100.4,1550,GET,200,/?id=633&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,60504,2025-06-02T18:46:25.418845+0700
,,,http,2149,639,192.168.100.4,80,flow,2,1551705331714223,closed,,,,,,,5,6,TCP,192.168.100.5,57194,2025-06-02T18:42:24.019514+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,6,1921179910891834,closed,192.168.100.4,1550,GET,200,/?id=902&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,60506,2025-06-02T18:46:03.391764+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,4,332230990327970,closed,192.168.100.4,1550,GET,200,/?id=277&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,37496,2025-06-02T18:44:53.533693+0700
3,HTTP GET Request Detected,1000002,http,2149,637,192.168.100.4,80,flow,4,891276818772059,closed,192.168.100.4,1550,GET,200,/?id=69&q=contact,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,37504,2025-06-02T18:47:37.006285+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,1975000147011063,closed,192.168.100.4,1550,GET,200,/?id=968&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,37520,2025-06-02T18:47:34.335208+0700
